"TargetPath","Action","BackupFile","BackupStamp","Bytes"
"scriptsUNDERSCORE\PLACEHOLDERbackups\2025-10-23T21-24-16-554Z\scriptsUNDERSCORE\PLACEHOLDERbackups\2025-10-23T21-14-49-233Z\pages\resources\index.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T21-32-04-156Z\scripts__backups_2025-10-23T21-24-16-554Z_scripts__backups_2025-10-23T21-14-49-233Z_pages_resources_index.tsx","2025-10-23T21-32-04-156Z","1497"
"components\NewsletterForm.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\components_NewsletterForm.tsx","2025-10-23T22-03-30-089Z","3203"
"components\downloads\DownloadsGrid.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\components_downloads_DownloadsGrid.tsx","2025-10-23T22-03-30-089Z","1137"
"components\FloatingTeaserCTA.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\components_FloatingTeaserCTA.tsx","2025-10-23T22-03-30-089Z","2009"
"components\mdx\ctas.ts","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\components_mdx_ctas.ts","2025-10-23T22-03-30-089Z","4202"
"scriptsUNDERSCORE\PLACEHOLDERbackups\2025-10-23T21-32-04-156Z\scriptsUNDERSCORE\PLACEHOLDERbackups\2025-10-23T21-24-16-554Z\scriptsUNDERSCORE\PLACEHOLDERbackups\2025-10-23T21-14-49-233Z\pages\resources\index.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-24T00-26-23-120Z\scripts\_backups\2025-10-23T22-03-30-089Z\scripts__backups_2025-10-23T21-32-04-156Z_scripts__backups_2025-10-23T21-24-16-554Z_scripts__backups_2025-10-23T21-14-49-233Z_pages_resources_index.tsx","2025-10-23T22-03-30-089Z","1498"
"check-env.ts","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\scripts_check-env.ts","2025-10-23T22-03-30-089Z","2421"
"scriptsUNDERSCORE\PLACEHOLDERbackups\2025-10-23T21-24-16-554Z\scriptsUNDERSCORE\PLACEHOLDERbackups\2025-10-23T21-14-49-233Z\stubs\contentlayer\generated.d.ts","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T21-32-04-156Z\scripts__backups_2025-10-23T21-24-16-554Z_scripts__backups_2025-10-23T21-14-49-233Z_stubs_contentlayer_generated.d.ts","2025-10-23T21-32-04-156Z","48"
"pages\print\static\principles-for-my-son.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\pages_print_static_principles-for-my-son.tsx","2025-10-23T22-03-30-089Z","4859"
"pages\print\static\fathering-without-fear-teaser.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\pages_print_static_fathering-without-fear-teaser.tsx","2025-10-23T22-03-30-089Z","7457"
"pages\print\principles-for-my-son-cue-card.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\pages_print_principles-for-my-son-cue-card.tsx","2025-10-23T22-03-30-089Z","4488"
"components\events\EventResources.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\components_events_EventResources.tsx","2025-10-23T22-03-30-089Z","3360"
"components\SocialFollowStrip.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\components_SocialFollowStrip.tsx","2025-10-23T22-03-30-089Z","7878"
"lib\utils.ts","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\lib_utils.ts","2025-10-23T22-03-30-089Z","297"
"pages\index.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\pages_index.tsx","2025-10-23T22-03-30-089Z","15165"
"components\mdx\shortcodes.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\components_mdx_shortcodes.tsx","2025-10-23T22-03-30-089Z","4226"
"pages\print\a6\brotherhood-cue-card-two-up.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\pages_print_a6_brotherhood-cue-card-two-up.tsx","2025-10-23T22-03-30-089Z","3161"
".netlify\functions-serve\subscribe\netlify\emails\index.ts","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\.netlify_functions-serve_subscribe_netlify_emails_index.ts","2025-10-23T22-03-30-089Z","3548"
"pages\api\search-index.ts","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\pages_api_search-index.ts","2025-10-23T22-03-30-089Z","1680"
"netlify\functions\test-email.ts","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\netlify_functions_test-email.ts","2025-10-23T22-03-30-089Z","3011"
"components\homepage\VenturesSection.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\components_homepage_VenturesSection.tsx","2025-10-23T22-03-30-089Z","6300"
"components\LogoTile.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\components_LogoTile.tsx","2025-10-23T22-03-30-089Z","1354"
"components\mdx\ResourcesCTA.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\components_mdx_ResourcesCTA.tsx","2025-10-23T22-03-30-089Z","2833"
"utils\events.ts","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\utils_events.ts","2025-10-23T22-03-30-089Z","1761"
"netlify\functions\send-teaser.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\netlify_functions_send-teaser.tsx","2025-10-23T22-03-30-089Z","4427"
"pages\410.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\pages_410.tsx","2025-10-23T22-03-30-089Z","1990"
"netlify\functions\subscribe-launch.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\netlify_functions_subscribe-launch.tsx","2025-10-23T22-03-30-089Z","4344"
"components\ui\Button.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\components_ui_Button.tsx","2025-10-23T22-03-30-089Z","1819"
"pages\blog\index.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\pages_blog_index.tsx","2025-10-23T22-03-30-089Z","4818"
"pages\ventures.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\pages_ventures.tsx","2025-10-23T22-03-30-089Z","4996"
"pages\privacy.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\pages_privacy.tsx","2025-10-23T22-03-30-089Z","3787"
"components\BlogPostCard.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\components_BlogPostCard.tsx","2025-10-23T22-03-30-089Z","6372"
"pages\events\index.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\pages_events_index.tsx","2025-10-23T22-03-30-089Z","6588"
"pages\strategy\index.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T21-14-49-233Z\pages_strategy_index.tsx","2025-10-23T21-14-49-233Z","901"
"scriptsUNDERSCORE\PLACEHOLDERbackups\2025-10-23T21-32-04-156Z\scriptsUNDERSCORE\PLACEHOLDERbackups\2025-10-23T21-24-16-554Z\scriptsUNDERSCORE\PLACEHOLDERbackups\2025-10-23T21-14-49-233Z\pages\strategy\index.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-24T00-26-23-120Z\scripts\_backups\2025-10-23T22-03-30-089Z\scripts__backups_2025-10-23T21-32-04-156Z_scripts__backups_2025-10-23T21-24-16-554Z_scripts__backups_2025-10-23T21-14-49-233Z_pages_strategy_index.tsx","2025-10-23T22-03-30-089Z","903"
"lib\date.ts","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\lib_date.ts","2025-10-23T22-03-30-089Z","1580"
"pages\print\household-rhythm-starter.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\pages_print_household-rhythm-starter.tsx","2025-10-23T22-03-30-089Z","3201"
"components\Layout.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\components_Layout.tsx","2025-10-23T22-03-30-089Z","8255"
"components\mdx\Verse.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\components_mdx_Verse.tsx","2025-10-23T22-03-30-089Z","437"
"netlify\emails\WelcomeLaunchEmail.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\netlify_emails_WelcomeLaunchEmail.tsx","2025-10-23T22-03-30-089Z","1923"
"pages\print\static\brotherhood-covenant.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\pages_print_static_brotherhood-covenant.tsx","2025-10-23T22-03-30-089Z","7457"
"components\StickyCTA.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\components_StickyCTA.tsx","2025-10-23T22-03-30-089Z","8521"
"netlify\emails\TeaserEmail.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\netlify_emails_TeaserEmail.tsx","2025-10-23T22-03-30-089Z","2137"
"scriptsUNDERSCORE\PLACEHOLDERbackups\2025-10-23T21-14-49-233Z\pages\resources\index.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T21-24-16-554Z\scripts__backups_2025-10-23T21-14-49-233Z_pages_resources_index.tsx","2025-10-23T21-24-16-554Z","1497"
"netlify\functions\contact.ts","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\netlify_functions_contact.ts","2025-10-23T22-03-30-089Z","4369"
"scriptsUNDERSCORE\PLACEHOLDERbackups\2025-10-23T21-24-16-554Z\scriptsUNDERSCORE\PLACEHOLDERbackups\2025-10-23T21-14-49-233Z\pages\strategy\index.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T21-32-04-156Z\scripts__backups_2025-10-23T21-24-16-554Z_scripts__backups_2025-10-23T21-14-49-233Z_pages_strategy_index.tsx","2025-10-23T21-32-04-156Z","902"
".netlify\functions-serve\subscribe-launch\netlify\emails\WelcomeLaunchEmail.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\.netlify_functions-serve_subscribe-launch_netlify_emails_WelcomeLaunchEmail.tsx","2025-10-23T22-03-30-089Z","1923"
"components\TeaserRequest.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\components_TeaserRequest.tsx","2025-10-23T22-03-30-089Z","1445"
"components\Breadcrumb.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\components_Breadcrumb.tsx","2025-10-23T22-03-30-089Z","1676"
"pagesUNDERSCORE\PLACEHOLDERdocument.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\pages__document.tsx","2025-10-23T22-03-30-089Z","1097"
".netlify\functions-serve\subscribe-launch\netlify\emails\TeaserEmail.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\.netlify_functions-serve_subscribe-launch_netlify_emails_TeaserEmail.tsx","2025-10-23T22-03-30-089Z","2137"
"pages\print\leadership-playbook.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\pages_print_leadership-playbook.tsx","2025-10-23T22-03-30-089Z","6520"
"pages\resources\index.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T21-14-49-233Z\pages_resources_index.tsx","2025-10-23T21-14-49-233Z","1497"
"components\homepage\EventsSection.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\components_homepage_EventsSection.tsx","2025-10-23T22-03-30-089Z","4999"
"pages\api\contact.ts","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\pages_api_contact.ts","2025-10-23T22-03-30-089Z","8022"
".netlify\functions-serve\send-teaser\netlify\emails\TeaserEmail.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\.netlify_functions-serve_send-teaser_netlify_emails_TeaserEmail.tsx","2025-10-23T22-03-30-089Z","2137"
"lib\hero-banners.ts","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\lib_hero-banners.ts","2025-10-23T22-03-30-089Z","2579"
"app\downloads\page.tsx","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\app_downloads_page.tsx","2025-10-23T22-03-30-089Z","1987"
"lib\subscribe.ts","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\lib_subscribe.ts","2025-10-23T22-03-30-089Z","707"
"lib\mdx.ts","SKIPPED_IDENTICAL","C:\Abraham-of-london\scripts\_backups\2025-10-23T22-03-30-089Z\lib_mdx.ts","2025-10-23T22-03-30-089Z","6559"
